date,AAPL,MSFT,GOOG,AMZN,NVDA
2024-05-07,181.0994873046875,404.8285827636719,171.80430603027344,188.75999450683594,90.51286315917969
2024-05-08,181.43707275390625,406.0153503417969,169.99667358398438,188.0,90.37092590332031
2024-05-09,183.25404357910156,407.7757568359375,170.41380310058594,189.5,88.70668029785156
2024-05-10,181.99136352539062,410.1690673828125,169.13258361816406,187.47999572753906,89.83716583251953
2024-05-13,185.2026824951172,409.1602783203125,169.73843383789062,186.57000732421875,90.3579330444336
2024-05-14,186.34603881835938,411.9690246582031,170.7614288330078,187.07000732421875,91.31450653076172
2024-05-15,188.622802734375,419.1718444824219,172.69818115234375,185.99000549316406,94.5870132446289
2024-05-16,188.74209594726562,417.10113525390625,174.23764038085938,183.6300048828125,94.31613159179688
2024-05-17,188.77194213867188,416.328369140625,176.08499145507812,184.6999969482422,92.43698120117188
2024-05-20,189.93516540527344,421.4109802246094,177.24705505371094,183.5399932861328,94.73694610595703
2024-05-21,191.2375946044922,425.0768127441406,178.3197021484375,183.14999389648438,95.34266662597656
2024-05-22,189.79595947265625,426.5431213378906,176.79019165039062,183.1300048828125,94.90687561035156
2024-05-23,185.79922485351562,423.0556335449219,173.87014770507812,181.0500030517578,103.75184631347656
2024-05-24,188.8813018798828,426.18646240234375,175.1315155029297,180.75,106.4206314086914
2024-05-28,188.8912353515625,426.3450012207031,176.81004333496094,182.14999389648438,113.84925842285156
2024-05-29,189.18951416015625,425.2056579589844,176.1942596435547,182.02000427246094,114.77283477783203
2024-05-30,190.18373107910156,410.8395690917969,172.38035583496094,179.32000732421875,110.44979858398438
2024-05-31,191.13816833496094,411.2953186035156,172.77764892578125,176.44000244140625,109.58319854736328
2024-06-03,192.90786743164062,409.7001647949219,173.23451232910156,178.33999633789062,114.94775390625
2024-06-04,193.2260284423828,412.22662353515625,173.93966674804688,179.33999633789062,116.38410949707031
2024-06-05,194.7372283935547,420.09326171875,175.8665008544922,181.27999877929688,122.38436889648438
2024-06-06,193.3552703857422,420.5985412597656,177.13780212402344,185.0,120.94304656982422
2024-06-07,195.7513427734375,419.93475341796875,174.7541046142578,184.3000030517578,120.83308410644531
2024-06-10,192.0031280517578,423.9175720214844,175.62911987304688,187.05999755859375,121.73467254638672
2024-06-11,205.9519805908203,428.6831970214844,177.18028259277344,187.22999572753906,120.8650131225586
2024-06-12,211.8377685546875,436.98577880859375,178.54251098632812,186.88999938964844,125.15339660644531
2024-06-13,213.00100708007812,437.5009460449219,175.738525390625,183.8300018310547,129.561767578125
2024-06-14,211.26112365722656,438.4818115234375,177.3592529296875,183.66000366210938,131.8309326171875
